director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,overview,tagline,rating,companies
Morten Tyldum,Aksel Hennie,Synnøve Macody Lund,Julie R. Ølgaard,Crime Drama Thriller,headhunters,Experimental video by Sven Harding.,,,
Jon Wright,Russell Tovey,Richard Coyle,Bronagh Gallagher,Comedy Horror Sci-Fi Thriller,grabbers,"Something sinister has come to the shores of Erin Island, unbeknownst to the quaint population of this sleepy fishing village resting somewhere off Ireland’s coast. First, some fishermen go missing. Then there is the rash of whale carcasses suddenly washing up on the beach. When the murders start, it’s up to two mismatched cops – an irresponsible alcoholic and his new partner, a by-the-book woman from the mainland – to protect the townsfolk from the giant, bloodsucking, tentacled aliens that prey upon them. Their only weapon, they discover, is booze. If they want to survive the creatures’ onslaught, everyone will have to get very, very drunk!","For the locals on Erin Island, it's last orders.",6.1,High Treason Productions Samson Films Forward Films Nvizible Screen Ireland
Michael McGowan,Campbell Scott,Adam Butcher,Gordon Pinsent,Comedy Drama Sport,saint ralph,"This Canadian made comedy/drama, set in Hamilton, Ontario in 1954, is a sweet and - at times - goofy story that becomes increasingly poignant as the minutes tick by.  It's the fictional tale of a wayward 9th grader, Ralph (Adam Butcher), who is secretly living on his own while his widowed, hospitalized mother remains immersed in a coma. Frequently in trouble with Father Fitzpatrick (Gordon Pinsent), the principal of his all-boys, Catholic school, Ralph is considered something of a joke among peers until he decides to pull off a miracle that could save his mother, i.e., winning the Boston Marathon.  Coached by a younger priest and former runner, Father Hibbert (Campbell Scott), whose cynicism has been lifted by the boy's pure hope, Ralph applies himself to his unlikely mission, fending off naysayers and getting help along a very challenging path from sundry allies and friends.",He's hoping for a miracle. He doesn't have a prayer.,6.9,Running Miracles Productions Alliance Atlantis Amaze Film + Television
Liv Ullmann,Samantha Morton,Jessica Chastain,Colin Farrell,Drama Romance,miss julie,"Over the course of a midsummer night in Fermanagh in 1890, an unsettled daughter of the Anglo-Irish aristocracy encourages her father's valet to seduce her.",Love is a foolish game,5.7,Maipo Film The Apocalypse Films Senorita Films Subotica
Jeannot Szwarc,Teresa Wright,Bill Erwin,George Voskovec,Drama Fantasy Romance,somewhere in time,"Young writer Richard Collier is met on the opening night of his first play by an old lady who begs him to ""Come back to me"". Mystified, he tries to find out about her, and learns that she is a famous stage actress from the early 1900s. Becoming more and more obsessed with her, by self-hypnosis he manages to travel back in time—where he meets her.",Someday in the past he will find her...,7.545,Universal Pictures Rastar Productions
Rohan Sippy,Abhishek Bachchan,Bipasha Basu,Prateik,Action Crime Drama Thriller,dum maaro dum,"ACP Vishnu is sent on a mission to investigate and clean the underbelly of Goa. During his investigation, he uncovers a huge racket and discovers the involvement of various politicians.",Every Paradise Has a Few Snakes,5.9,Ramesh Sippy Enterprises Cheyenne Enterprises Star Studios Louverture Films
James Wan,Lin Shaye,Barbara Hershey,Leigh Whannell,Fantasy Horror Thriller,insidious: chapter 2,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,It will take what you love most.,6.7,FilmDistrict Blumhouse Productions Stage 6 Films Entertainment One Alliance Films
Darren Lynn Bousman,Emmanuelle Vaugier,Tony Nappo,Shawnee Smith,Horror Mystery,saw ii,"When a new murder victim is discovered with all the signs of Jigsaw's hand, Detective Eric Matthews begins a full investigation and apprehends Jigsaw with little effort. But for Jigsaw, getting caught is just another part of his plan. Eight more of his victims are already fighting for their lives and now it's time for Matthews to join the game.",Oh Yes... There Will Be Blood.,6.6,Got Films Twisted Pictures Evolution Entertainment Saw 2 Productions Lionsgate
Dan Trachtenberg,Bradley Cooper,John Gallagher Jr.,Sumalee Montano,Drama Horror Mystery Sci-Fi Thriller,10 cloverfield lane,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",Monsters come in many forms.,6.979,Bad Robot
Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Comedy Documentary,jackass: the movie,"Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time. They wander around Japan in panda outfits, wreak havoc on a once civilized golf course, they even do stunts involving LIVE alligators, and so on.",Do not attempt this at home.,6.3,Lynch Siderow Productions Dickhouse Productions Paramount MTV Films
David F. Sandberg,Billy Burke,Amiah Miller,Gabriel Bateman,Horror,lights out,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",You were right to be afraid of the dark.,6.3,Warner Bros. Pictures New Line Cinema Atomic Monster Grey Matter Productions Dune Entertainment
Henry Joost,Johanna Braddy,Sprague Grayden,Christopher Nicholas Smith,Horror,paranormal activity 3,"In 1988, young sisters Katie and Kristi befriend an invisible entity who resides in their home.",It Runs In The Family.,5.9,Paramount Blumhouse Productions Solana Films Room 101
Stiles White,Lin Shaye,Shelley Hennig,Daren Kagasoff,Fantasy Horror,ouija,A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.,Keep telling yourself it's just a game.,5.2,White Noise Factory Universal Pictures Platinum Dunes MRC Blumhouse Productions 5150 Action Hasbro Studios dentsu Fuji Television Network
Chuck Russell,John Saxon,Heather Langenkamp,Jennifer Rubin,Action Fantasy Horror Thriller,a nightmare on elm street 3: dream warriors,"It's been many years since Freddy Krueger's first victim, Nancy, came face-to-face with Freddy and his sadistic, evil ways. Now, Nancy's all grown up; she's put her frightening nightmares behind her and is helping teens cope with their dreams. Too bad Freddy's decided to herald his return by invading the kids' dreams and scaring them into committing suicide.","If you think you're ready for Freddy, think again!",6.7,New Line Cinema Smart Egg Pictures Heron Communications
Joel Edgerton,Busy Philipps,Allison Tolman,Wendell Pierce,Mystery Thriller,the gift,"Annie Wilson, young widow and mother of three, makes her living foretelling others' futures⁠—though her own has become cloudier than even she can see. Threatened by a client's violent husband and plagued by visions of a missing local woman, Annie finds herself pulled into a thicket of lies and deception in which her extraordinary gift may ultimately get her killed.",The only witness to the crime was not even there.,6.4,Lakeshore Entertainment Alphaville Films
Eugenio Derbez,Eugenio Derbez,Jessica Lindsey,Hugo Stiglitz,Comedy Drama,instructions not included,"Valentin is Acapulco's resident playboy, until a former fling leaves a baby on his doorstep and him heading with her out of Mexico.",Life doesn't care if you're ready.,7.718,Pantelion Films Filmax Pinema Televisa
Henry Joost,Matt Shively,Brendon Eggertsen,Alisha Boe,Horror,paranormal activity 4,"It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.",All the activity has led to this...,5.4,Room 101 Paramount Blumhouse Productions Solana Films
Henry Koster,Richard Burton,Jean Simmons,Victor Mature,Drama History,the robe,"Marcellus is a tribune in the time of Christ. He is in charge of the group that is assigned to crucify Jesus. Drunk, he wins Jesus' homespun robe after the crucifixion. He is tormented by nightmares and delusions after the event. Hoping to find a way to live with what he has done, and still not believing in Jesus, he returns to Palestine to try and learn what he can of the man he killed.",The first motion picture in CinemaScope--the modern miracle you see without glasses!,6.9,20th Century Fox
Blake Edwards,Burt Kwouk,Herbert Lom,Catherine Schell,Comedy Crime Mystery,the return of the pink panther,The famous Pink Panther jewel has once again been stolen and Inspector Clouseau is called in to catch the thief. The Inspector is convinced that 'The Phantom' has returned and utilises all of his resources – himself and his Asian manservant – to reveal the identity of 'The Phantom'.,,6.8,United Artists Jewel Productions Pimlico Films ITC Entertainment
Rachel Talalay,Johnny Depp,Tom Arnold,Yaphet Kotto,Comedy Fantasy Horror Thriller,freddy's dead: the final nightmare,"Just when you thought it was safe to sleep, Freddy Krueger returns in this sixth installment of the Nightmare on Elm Street films, as psychologist Maggie Burroughs, tormented by recurring nightmares, meets a patient with the same horrific dreams. Their quest for answers leads to a certain house on Elm Street -- where the nightmares become reality.",They saved the best for last.,5.3,New Line Cinema
Patty Jenkins,Charlize Theron,Bruce Dern,Pruitt Taylor Vince,Biography Crime Drama Thriller,monster,"An emotionally scarred highway drifter shoots a sadistic trick who rapes her, and ultimately becomes the United States' first female serial killer.",The first female serial killer of the United States,7.2,Newmarket Films Media 8 Entertainment DEJ Productions K/W Productions Denver and Delilah Productions VIP 2 Medienfonds MDP Worldwide
Christopher Landon,Richard Cabral,Gloria Sandoval,Molly Ephraim,Fantasy Horror Thriller,paranormal activity: the marked ones,"Seventeen-year-old Jesse has been hearing terrifying sounds coming from his neighbor’s apartment, but when he turns on his camera and sets out to uncover their source, he encounters an ancient evil that won’t rest until it’s claimed his very soul.",Once Marked It Is Already Too Late.,5.4,Blumhouse Productions Solana Films Room 101
David Lynch,Anthony Hopkins,Anne Bancroft,Dexter Fletcher,Biography Drama,the elephant man,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",I am not an animal! I am a human being! I … am … a man!,8.057,Brooksfilms Paramount
Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Denis O'Hare,Biography Drama,dallas buyers club,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",Sometimes it takes a hustler to change the world,7.9,Truth Entertainment Voltage Pictures CE Evolution Independent R² Films Rainmaker Films Focus Features
David Gelb,Olivia Wilde,Mark Duplass,Donald Glover,Horror Sci-Fi Thriller,the lazarus effect,"Medical researcher Frank, his fiancee Zoe and their team have achieved the impossible: they have found a way to revive the dead. After a successful, but unsanctioned, experiment on a lifeless animal, they are ready to make their work public. However, when their dean learns what they've done, he shuts them down. Zoe is killed during an attempt to recreate the experiment, leading Frank to test the process on her. Zoe is revived -- but something evil is within her.",Evil will rise.,5.3,Lionsgate Blumhouse Productions Chapter One Films
Christopher Nolan,Callum Rennie,Thomas Lennon,Jorja Fox,Mystery Thriller,memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",Some memories are best forgotten.,8.2,Summit Entertainment Newmarket Capital Group Team Todd I Remember Productions
Mike Flanagan,James Lafferty,Rory Cochrane,Garrett Ryan,Horror Mystery,oculus,A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.,You see what it wants you to see.,6.4,MICA Entertainment Intrepid Pictures Blumhouse Productions WWE Studios Lasser Productions
Kevin Smith,Ethan Suplee,Jason Mewes,Brian O'Halloran,Comedy,clerks ii,"A calamity at Dante and Randall's shops sends them looking for new horizons - but they ultimately settle at Mooby's, a fictional Disney-McDonald's-style fast-food empire.",With no power comes no responsibility.,6.9,View Askew Productions The Weinstein Company
Stephen Daldry,Julie Walters,Gary Lewis,Jamie Draven,Drama Music,billy elliot,County Durham England 1984 the miners strike has started and the police have started coming up from Bethnal Green starting a class war with the lower classes suffering caught in the middle of the conflict is 11-year old Billy Elliot who after leaving his boxing club for the day stubbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs Wilkinson for an upcoming audition in Newcastle-upon Tyne the audition is for the royal Ballet school in London.,Inside every one of us is a special talent waiting to come out. The trick is finding it.,7.6,StudioCanal BBC Film Tiger Aspect Productions Arts Council of England Working Title Films WT2 Productions Focus Features Universal Pictures
Nat Faxon,Steve Carell,Liam James,Jim Rash,Comedy Drama,the way way back,"Shy 14-year-old Duncan goes on summer vacation with his mother, her overbearing boyfriend, and her boyfriend's daughter. Having a rough time fitting in, Duncan finds an unexpected friend in Owen, manager of the Water Wizz water park.",We've all been there.,7.1,Sycamore Pictures OddLot Entertainment The Walsh Company What Just Happened Productions
George Jackson,William Schallert,Tisha Campbell-Martin,Helen Martin,Comedy Drama Music Romance,house party 2,Kid'N'Play leave their neighborhood and enter the world of adulthood and higher education. Play attempts to get rich quick in the music business while Kid faces the challenges of college.,,5.3,New Line Cinema
George Miller,Tony Bonner,Jack Thompson,Tom Burlinson,Adventure Drama Family Romance Western,the man from snowy river,Jim Craig has lived his first 18 years in the mountains of Australia on his father's farm. The death of his father forces him to go to the lowlands to earn enough money to get the farm back on its feet.,The story of a boy suddenly alone in the world. The men who challenge him. And the girl who helps him become a man.,6.9,Cambridge Productions Michael Edgley International Snowy River Investment Pty. Ltd.
Maurice Joyce,Frank Welker,Constance Shulman,Alice Playten,Animation Comedy Family,doug's 1st movie,Doug and his pal Skeeter set's out to find the monster of Lucky Duck Lake. Though things get really out of hand when some one blurts out that the monster is real.,You'll Dig Doug!,5.5,Walt Disney Pictures Jumbo Pictures
Robert Duvall,John Beasley,Todd Allen,June Carter Cash,Drama,the apostle,"After his happy life spins out of control, a preacher from Texas changes his name, goes to Louisiana and starts preaching on the radio.",The hardest soul to save was his own.,6.5,Butcher's Run Productions
Frank Perry,Faye Dunaway,Xander Berkeley,Diana Scarwid,Biography Drama,mommie dearest,"Renowned actress Joan Crawford, at the height of her career, adopts two orphans — Christina and Christopher — to fill the lonely gap in her personal life. However, as her professional and romantic relationships sour, Joan's already callous and abusive behavior towards Christina intensifies. Christina leaves home to pursue an acting path of her own, only to find her mother's presence still overshadowing her.",The meanest mother of them all...,6.4,Paramount The Irwin Yablans Company
Jesse Peretz,Zooey Deschanel,Adam Scott,Steve Coogan,Comedy Drama,our idiot brother,"Everybody has one—the sibling who is always just a little bit behind the curve when it comes to getting his life together. For sisters Liz, Miranda and Natalie, that person is their perennially upbeat brother, Ned. But as each of their lives begins to unravel, Ned's family comes to realise that Ned isn't such an idiot after all.",Everybody has one,6.2,Yuk Films Likely Story The Weinstein Company Big Beach
Stephen Hopkins,William Hurt,Tony Curran,David Kross,Biography Drama Sport,race,"Based on the story of Jesse Owens, the athlete whose quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy.",The incredible true story of gold medal champion Jesse Owens,7.3,Trinity Race Forecast Pictures Solofilms JoBro Productions
Ice Cube,Bernie Mac,Monica Calhoun,Chrystale Wilson,Comedy Drama,the players club,"Single mother Diana struggles to provide for her child and pay for her college education. When she meets two dancers from a nearby gentlemen's club, Diana's convinced there's fast money to be made stripping.","Here, we get down and dirty.",6.4,New Line Cinema
Tim Blake Nelson,Mekhi Phifer,Andrew Keegan,John Heard,Drama Romance Thriller,o,"Over a month has passed since 10,000 users were trapped inside the ""Sword Art Online"" world. Asuna, who cleared the first floor of the floating iron castle of Aincrad, joined up with Kirito and continued her journey to reach the top floor. With the support of female Information Broker Argo, clearing the floors seemed to be progressing smoothly, but conflict erupts between two major guilds who should be working together – the top player groups ALS (the Aincrad Liberation Squad) and DKB (the Dragon Knights Brigade). And meanwhile, behind the scenes exists a mysterious figure pulling the strings…",You will definitely become stronger.,7.6,A-1 Pictures EGG FIRM Straight Edge Aniplex Sonilude
John Erick Dowdle,Ben Feldman,Edwin Hodge,Perdita Weeks,Horror Mystery Thriller,"as above, so below","When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.",The only way out is down,6.7,Brothers Dowdle Productions Legendary Pictures Universal Pictures
Bille Woodruff,Boris Kodjoe,Cameron Mills,Sharon Leal,Drama Thriller,addicted,A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.,Every Woman Needs an Escape,5.8,Lionsgate Codeblack Films
Kasi Lemmons,Jurnee Smollett-Bell,Lynn Whitfield,Diahann Carroll,Drama,eve's bayou,"Summer heats up in rural Louisiana beside Eve’s Bayou, 1962, as the Batiste family tries to survive the secrets they’ve kept and the betrayals they’ve endured.",The secrets that hold us together can also tear us apart.,6.4,Trimark Pictures Addis Wechsler Pictures ChubbCo Film
Richard Glatzer,Kristen Stewart,Hunter Parrish,Seth Gilliam,Drama,still alice,"Alice Howland, happily married with three grown children, is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis, Alice and her family find their bonds tested.",Live in the moment.,7.5,Shriver Films Killer Films Big Indie Pictures BSM Studio Lutzus-Brown Backup Media Sony Pictures Classics
Michael Curtiz,Gene Tierney,Peter Ustinov,Jean Simmons,Drama History,the egyptian,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth.","To Nefer, shameless temptress of Babylon, he surrendered his parents' hope of immortality!",6.3,20th Century Fox
Bruce Malmuth,Sylvester Stallone,Lindsay Wagner,Persis Khambatta,Action Crime Thriller,nighthawks,An international terrorist has New York in a grip of panic and it's up to Det. Sgt. Deke DaSilva to take him down.,A terrorist holds New York in a grip of fear - and only Stallone can take him on.,6.4,Martin Poll Productions The Production Company Universal Pictures
Rob Hedden,Kane Hodder,Peter Mark Richman,Scott Reeves,Adventure Horror,friday the 13th part viii: jason takes manhattan,"Jason ships out aboard a teen-filled ""love boat"" bound for New York, which is soon transformed into the ultimate voyage of the damned.",New York has a new problem.,5.0,Sean S. Cunningham Films Paramount Horror Inc.
Joel Zwick,Nia Vardalos,Louis Mandylor,Lainie Kazan,Comedy Family Romance,my big fat greek wedding,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,Love is here to stay... so is her family.,6.5,Ontario Film Development Corporation Gold Circle Films HBO MPH Entertainment Productions Playtone
Harmony Korine,James Franco,Heather Morris,Rachel Korine,Crime Drama,spring breakers,"After four college girls rob a restaurant to fund their spring break in Florida, they get entangled with a weird dude with his own criminal agenda.",A little sun can bring out your dark side.,5.2,Iconoclast Rabbit Bandini Productions Division Films Muse Productions O' Salvation MJZ Pop Films Radar Pictures
Joe Chappelle,Donald Pleasence,Kim Darby,Mitchell Ryan,Horror Thriller,halloween: the curse of michael myers,"Six years ago, Michael Myers terrorized the town of Haddonfield, Illinois. He and his niece, Jamie Lloyd, have disappeared. Jamie was kidnapped by a bunch of evil druids who protect Michael Myers. And now, six years later, Jamie has escaped after giving birth to Michael's child. She runs to Haddonfield to get Dr. Loomis to help her again.",Terror Never Rests in Peace.,5.2,Miramax Halloween VI Productions Nightfall Productions Trancas International Films Dimension Films
Alfonso Cuarón,Maribel Verdú,Daniel Giménez Cacho,María Aura,Adventure Comedy Drama Romance,y tu mamá también,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",Life has its ways of teaching.,7.417,Bésame Mucho Pictures Producciones Anhelo Good Machine
Edgar Wright,Peter Serafinowicz,Dylan Moran,Rafe Spall,Comedy Horror,shaun of the dead,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",A romantic comedy. With zombies.,7.5,WT2 Productions StudioCanal Working Title Films Big Talk Productions Film4 Productions Rogue Pictures Universal Pictures
Mickey Liddell,Jessica Lowndes,Randy Wayne,Haley Bennett,Drama Horror Thriller,the haunting of molly hartley,"When teenage Molly Hartley moves to a new town, she's haunted by terrifying visions that may have to do with dark secrets from her past. Something evil lurks just beneath the lush surfaces of her private-school world, and it holds the rights to her very soul. On the eve of her 18th birthday, Molly is about to discover the truth of just who or what she is destined to become.",Her past is yet to come.,4.4,LD Entertainment Huntington Prep
John Sayles,Matthew McConaughey,Clifton James,Miriam Colon,Drama Mystery,lone star,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",John Sayles invites you to return to the scene of the crime.,7.0,Castle Rock Entertainment Rio Dulce
Dwight H. Little,Donald Pleasence,Kathleen Kinmont,Ellie Cornell,Horror Thriller,halloween 4: the return of michael myers,"The apparently comatose Michael Myers is being transferred from one hospital to another, but he wakes up when the ambulance crew talk about his surviving niece, Jamie. After slaughtering his attendants, Myers sets out to find his one living relative who is, fortunately, being cared for by a kind and resourceful foster sister named Rachel. Meanwhile, the ever-cautious Dr. Loomis remains on the killer's path.",Horror has returned to Haddonfield.,6.2,Trancas International Films Galaxy International Releasing
Fred Walton,Thomas F. Wilson,Deborah Foreman,Clayton Rohner,Horror Mystery,april fool's day,"A group of eight college friends gather together at an island mansion belonging to heiress Muffy St. John to celebrate their final year of school. Soon, they begin to fall victim to an unseen murderer over the April Fool's Day weekend, but nothing is as it seems.",Childish pranks turn into a bloody battle for survival!,6.0,YCTM Hometown Films
Barry Levinson,Steve Guttenberg,Daniel Stern,Ellen Barkin,Comedy Drama,diner,"Set in 1959, Diner shows how five young men resist their adulthood and seek refuge in their beloved Diner. The mundane, childish, and titillating details of their lives are shared. But the golden moments pass, and the men shoulder their responsibilities, leaving the Diner behind.","Suddenly, life was more than French fries, gravy, and girls.",6.9,Metro-Goldwyn-Mayer
Steve Carver,David Carradine,William Sanderson,Robert Beltran,Action Crime Drama Thriller Western,lone wolf mcquade,"The archetypical renegade Texas Ranger wages war against a drug kingpin with automatic weapons, his wits and martial arts after a gun battle leaves his partner dead. All of this inevitably culminates in a martial arts showdown between the drug lord and the ranger, and involving the woman they both love.",The 'Mad Dog' Criminal... The 'Lone Wolf' Lawman... The Ultimate Showdown.,6.6,1818 Lone Wolf McQuade Associates Topkick Productions Orion Pictures
Gonzalo López-Gallego,Warren Christie,Ryan Robbins,Andrew Airlie,Horror Mystery Sci-Fi Thriller,apollo 18,"Officially, Apollo 17 was the last manned mission to the moon. But a year later in 1973, three American astronauts were sent on a secret mission to the moon funded by the US Department of Defense. What you are about to see is the actual footage which the astronauts captured on that mission. While NASA denies its authenticity, others say it's the real reason we've never gone back to the moon.",There's a reason we've never gone back to the moon.,5.3,Bazelevs Production Dimension Films Bekmambetov Projects Ltd.
Christine Jeffs,Clifton Collins Jr.,Mary Lynn Rajskub,Paul Dooley,Comedy Drama,sunshine cleaning,A single mother and her slacker sister find an unexpected way to turn their lives around in the off-beat dramatic comedy. In order to raise the tuition to send her young son to private school the mom starts an unusual business – a biohazard removal/crime scene clean-up service.,life's a messy business.,6.6,Overture Films Back Lot Pictures Big Beach
John Erick Dowdle,Sterling Jerins,Claire Geare,Sahajak Boonthanakit,Action Thriller,no escape,"In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape in an environment where foreigners are being immediately executed.",No rescue. No refuge.,6.9,Living Films Bold Films Brothers Dowdle Productions
Don Coscarelli,Vanna Bonta,John Amos,Rip Torn,Action Adventure Fantasy,the beastmaster,"Dar, is the son of a king, who is hunted by a priest after his birth and grows up in another family. When he becomes a grown man his new father is murdered by savages and he discovers that he has the ability to communicate with the animals, which leads him on his quest for revenge against his father's killers.","Born with the courage of an eagle, the strength of a black tiger, and the power of a god.",6.4,Leisure Investment Company Beastmaster NV ECTA Filmproduktion
King Vidor,Gina Lollobrigida,George Sanders,Finlay Currie,Drama History Romance War,solomon and sheba,"Near death, King David has a vision that his poet son, Solomon, should succeed him, rather than hot-headed Adonijah. Furious, Adonijah departs the court, swearing he will become king. Other rulers are concerned that Solomon's benevolent rule and interest in monotheism will threaten their tyrannical, polytheistic kingdoms. The Queen of Sheba makes an agreement with the Egyptian pharaoh to corrupt Solomon for their mutual benefit.",Only once in 3000 years... anything like...,6.4,Edward Small Productions United Artists
Michael Tiddes,Fred Willard,Mike Epps,Russell Peters,Comedy,fifty shades of black,An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.,Way shadier than gray.,4.9,Wayans Alvarez Productions IM Global Open Road Films
Bill Duke,Eddie Cibrian,Jenifer Lewis,Wood Harris,Drama Romance,not easily broken,A car accident and shifting affections test the bond between a married couple.,Life tries to break you. Love holds you together.,6.4,
Frank Borzage,Gary Cooper,Helen Hayes,Adolphe Menjou,Drama Romance War,a farewell to arms,"A tale of the World War I love affair, begun in Italy, between American ambulance driver Lt. Frederic Henry and British nurse Catherine Barkley. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each as the war rages on.",Every woman who has loved will understand,6.3,Paramount
Bille Woodruff,Donald Faison,Brandy Norwood,Lauren London,Comedy Romance,the perfect match,"Charlie is a charming playboy who doesn't believe in serious relationships. His best friends bet him that if he sticks to one woman for one month, he's bound to get attached. Charlie denies this yet accepts the seemingly easy challenge, until he cross paths with the beautiful and mysterious Eva. They may agree to a casual affair, but eventually Charlie is questioning whether he may actually want more.",It's what everyone's looking for.,5.5,Lionsgate Jorva Entertainment Productions Codeblack Films Flavor Unit Entertainment
Mamoru Hosoda,Lara Jill Miller,Colleen O'Shaughnessey,Mona Marshall,Action Adventure Animation Family Sci-Fi,digimon: the movie,"The first story focused on Tai and Kari Kamiya four years before their adventure in the Digital World. It shows their first encounter with Digimon and what happened to them (as well as the other children). Tai and Kari wake one morning to find a Digi-Egg that came out of their computer the night before and the egg soon hatches, revealing a Botamon. The Digimon then evolves into Koromon and then Agumon (not the same one that became friends with Tai in the series, and yet, somehow, both Koromon and Kari remember each other), who then goes out and unintentionally destroys a good part of the neighborhood with Kari riding on his back. A second Digi-Egg appears in the sky to reveal an evil digimon, Parrotmon. Agumon then Digivolves to Greymon but isn't strong enough to beat Parrotmon and is knocked out. Tai grabs Kari's whistle and wakes up Greymon, who defeats Parrotmon and disappears with him.",New Monsters. New Battles. Now on the Big Screen.,6.6,Saban Entertainment Toei Company Fox Family Films Fox Kids Europe Properties Fox Kids International Programming Fox Kids Network Toei Animation
Brian Dannelly,Macaulay Culkin,Patrick Fugit,Eva Amurri Martino,Comedy Drama,saved!,"Mary is a good Christian girl who goes to a good Christian high school where she has good Christian friends and a perfect Christian boyfriend. Her life seems perfect, until the day that she finds out that her boyfriend may be gay — and that she’s pregnant.",Heaven help us.,6.4,United Artists Single Cell Pictures Infinity Media
Denys Arcand,Marie-Josée Croze,Stéphane Rousseau,Marina Hands,Comedy Crime Drama Mystery Romance,the barbarian invasions,"In this belated sequel to 'The Decline of the American Empire', middle-aged Montreal college professor, Remy, learns that he is dying of liver cancer. His ex-wife, Louise, asks their estranged son, Sebastian, a successful businessman living in London, to come home. Sebastian makes the impossible happen, using his contacts and disrupting the Canadian healthcare system in every way possible to help his father fight his terminal illness to the bitter end, while reuniting some of Remy's old friends, including Pierre, Alain, Dominique, Diane, and Claude, who return to see their friend before he passes on.","A comedy about sex, friendship, and all other things that invade our lives.",7.1,Astral Films Société Radio-Canada SODEC Téléfilm Canada Pyramide Productions Cinémaginaire CNC Canal+ Alliance Atlantis Vision Globale
Richard Lester,Robert Shaw,Denholm Elliott,Nicol Williamson,Adventure Drama Romance,robin and marian,"Robin Hood, aging none too gracefully, returns exhausted from the Crusades to woo and win Maid Marian one last time.",Love is the greatest adventure of all.,6.4,Columbia Pictures Rastar Productions
J.S. Cardone,Brendan Fehr,Kerr Smith,Izabella Miko,Horror Thriller,the forsaken,A young man is in a race against time as he searches for a cure after becoming infected with a virus that will eventually turn him into a blood-sucking vampire.,The night... has an appetite.,5.3,Columbia TriStar Home Entertainment Egmont Film Screen Gems Sony Pictures
Guy Hamilton,Harrison Ford,Carl Weathers,Franco Nero,Action Drama War,force 10 from navarone,"World War II, 1943. Mallory and Miller, the heroes who destroyed the guns of Navarone, are sent to Yugoslavia in search of a ghost from the past.",Explosive high adventure!,6.2,Columbia Pictures American International Pictures Navarone Productions
Jay Levey,Fran Drescher,Gedde Watanabe,Michael Richards,Comedy Drama,uhf,The eccentric new manager of a UHF television channel tries to save the station from financial ruin with an odd array of programming.,"A lot of TV stations have forgotten what ""quality"" means, but not Channel 62. They NEVER knew what it meant.",6.7,Cinecorp Orion Pictures Metro-Goldwyn-Mayer Imaginary Entertainment
